id,nombre_director,job,director_id
862,John Lasseter,Director,7879
8844,Joe Johnston,Director,4945
15602,Howard Deutch,Director,26502
31357,Forest Whitaker,Director,2178
11862,Charles Shyer,Director,56106
949,Michael Mann,Director,638
11860,Sydney Pollack,Director,2226
45325,Peter Hewitt,Director,18357
9091,Peter Hyams,Director,37710
710,Martin Campbell,Director,10702
9087,Rob Reiner,Director,3026
12110,Mel Brooks,Director,14639
21032,Simon Wells,Director,21879
10858,Oliver Stone,Director,1152
1408,Renny Harlin,Director,16938
524,Martin Scorsese,Director,1032
4584,Ang Lee,Director,1614
5,Allison Anders,Director,3110
5,Alexandre Rockwell,Director,3111
5,Robert Rodriguez,Director,2294
5,Quentin Tarantino,Director,138
9273,Steve Oedekerk,Director,4489
11517,Joseph Ruben,Director,52629
8012,Barry Sonnenfeld,Director,5174
1710,Jon Amiel,Director,15148
9691,Richard Donner,Director,7187
12665,Victor Salva,Director,56349
451,Mike Figgis,Director,6111
16420,Oliver Parker,Director,56710
9263,Lesli Linka Glatter,Director,15798
17015,Roger Michell,Director,7017
902,Jean-Pierre Jeunet,Director,2419
902,Marc Caro,Director,13680
37557,Zhang Yimou,Director,607
9909,John N. Smith,Director,60295
63,Terry Gilliam,Director,280
78802,Jean-Jacques Annaud,Director,2352
9598,Chris Noonan,Director,58137
47018,Christopher Hampton,Director,12952
687,Tim Robbins,Director,504
139405,Stephen Low,Director,77867
33689,Andy Tennant,Director,17167
9603,Amy Heckerling,Director,57434
34615,Darrell James Roodt,Director,16730
31174,Richard Loncraine,Director,33315
11443,Albert Hughes,Director,11447
11443,Allen Hughes,Director,11448
35196,Michael Hoffman,Director,52405
9312,Paul W.S. Anderson,Director,4014
577,Gus Van Sant,Director,5216
11861,Jocelyn Moorhouse,Director,3047
807,David Fincher,Director,7467
10530,Mike Gabriel,Director,65530
10530,Eric Goldberg,Director,65531
8391,Patricia Rozema,Director,55439
629,Bryan Singer,Director,9032
117164,Richard W. Munchkin,Director,100505
11448,Woody Allen,Director,1243
49133,Gianni Amelio,Director,128107
26441,Holly Goldberg Sloan,Director,71338
97406,Ulu Grosbard,Director,140354
124057,Robert Tinnell,Director,30586
9089,Jodie Foster,Director,1038
11010,Michael Radford,Director,28898
99040,Robert Lepage,Director,38527
11359,Frank Oz,Director,7908
17182,John Schlesinger,Director,19304
2054,Stephen Herek,Director,18356
10607,Paris Barclay,Director,45649
19760,Bill Bennett,Director,49361
9536,Jason Bloom,Director,57870
11525,Farhad Mann,Director,69721
40628,James Foley,Director,15890
4482,Josiane Balasko,Director,35137
10634,F. Gary Gray,Director,37932
755,Robert Rodriguez,Director,2294
11859,Andrew Sipes,Director,70850
28387,Noah Baumbach,Director,5656
48750,Claude Lelouch,Director,16862
20927,Michael Goldenberg,Director,10296
36929,Steve Miner,Director,58712
9102,Christian Duguay,Director,25735
124626,Susanne Ofteringer,Director,1080309
27526,Sean Penn,Director,2228
9623,Brian Gibson,Director,18069
46785,Jafar Panahi,Director,120229
400,Gary Fleder,Director,5501
880,Marleen Gorris,Director,13496
146599,Tim Reid,Director,27771
188588,Henry Jaglom,Director,117075
8447,Philip Haas,Director,55038
10534,Ridley Scott,Director,578
17414,Ken Kwapis,Director,29009
13997,Penelope Spheeris,Director,58448
2086,John Badham,Director,12840
61548,John Duigan,Director,72624
9095,Stephen Frears,Director,3224
12158,Wes Craven,Director,5140
9283,Ted Demme,Director,34849
9208,John Woo,Director,11401
40154,Kenneth Branagh,Director,11181
406,Mathieu Kassovitz,Director,2406
45549,Paul W.S. Anderson,Director,4014
63076,Nick Broomfield,Director,92561
11062,Harold Becker,Director,23213
13685,Wes Anderson,Director,5655
47475,Nick Castle,Director,14692
2045,John Dahl,Director,21053
9614,Dennis Dugan,Director,17494
688,Clint Eastwood,Director,190
11907,Doris Dörrie,Director,18969
10874,Brian Henson,Director,65298
89333,Robert Leacock,Director,64077
96357,James Bruce,Director,1234226
197,Mel Gibson,Director,2461
103,Martin Scorsese,Director,1032
33542,Stanley Tong,Director,44916
43566,Barbet Schroeder,Director,23393
71754,Mort Ransen,Director,184475
43612,Étienne Chatiliez,Director,20849
51352,Jon Blair,Director,82293
16934,Benjamin Ross,Director,81020
10324,Eric Schaeffer,Director,68185
78406,Andrew Davis,Director,12989
55731,Charles T. Kanganis,Director,36147
32119,John N. Smith,Director,60295
11066,Reginald Hudlin,Director,68215
11104,Wong Kar-wai,Director,12453
37975,Giuseppe Tornatore,Director,65314
2074,David O. Russell,Director,17883
27793,Peter MacDonald,Director,16589
44284,Moufida Tlatli,Director,239321
290157,Michel Negroponte,Director,93632
110972,Bryan Gordon,Director,122583
32622,Rebecca Miller,Director,41670
73067,Michael Lindsay-Hogg,Director,125543
11863,William Friedkin,Director,15175
55475,Ángel Muñiz,Director,114997
124636,Craig Baldwin,Director,84445
9101,David S. Ward,Director,12920
123360,Mark Rappaport,Director,1077999
5757,Dirk Shafer,Director,45382
39428,Terence Davies,Director,93911
124639,Sandip Ray,Director,1080311
9302,Jon Avnet,Director,18250
11000,Mike Nichols,Director,5342
249882,Jakov Sedlar,Director,1285121
16388,Edward Burns,Director,12833
9737,Michael Bay,Director,865
30765,Christopher Cain,Director,56828
10474,Scott Kalvert,Director,65390
22279,Mike Newell,Director,10723
30157,Hal Hartley,Director,91343
568,Ron Howard,Director,6159
11780,Michael Caton-Jones,Director,30365
34996,Abel Ferrara,Director,39104
414,Joel Schumacher,Director,5572
649,Luis Buñuel,Director,793
1873,John Boorman,Director,19665
5894,Paul Auster,Director,46391
5894,Wayne Wang,Director,39819
1775,Michael Moore,Director,17087
8839,Brad Silberling,Director,11887
20649,Spike Lee,Director,5281
10329,Frank Marshall,Director,664
8963,Tony Scott,Director,893
26564,Terry Zwigoff,Director,17447
8068,Robert Rodriguez,Director,2294
8512,Carl Franklin,Director,21712
1572,John McTiernan,Director,1090
13552,Gregg Araki,Director,19224
259209,Christopher Menaul,Director,68774
6520,Jerry Zucker,Director,3415
9073,Dwight H. Little,Director,56998
10428,Iain Softley,Director,1978
17447,Christopher Ashley,Director,252806
9886,Robert Longo,Director,59997
9482,Danny Cannon,Director,33279
19326,John Fortenberry,Director,58316
9344,Larry Clark,Director,51917
9071,Tom DiCillo,Director,6400
8973,Clive Barker,Director,31211
15730,Denys Arcand,Director,38516
47608,Antonia Bird,Director,42617
2293,Kevin Smith,Director,19303
9070,Bryan Spicer,Director,42111
68274,David Anspaugh,Director,44847
48787,Anthony Waller,Director,58384
34574,Michael Almereyda,Director,54469
1642,Irwin Winkler,Director,11472
11472,Chris Columbus,Director,10965
36196,Daisy von Scherler Mayer,Director,56714
11980,Gregory Widen,Director,28902
58372,Norman René,Director,26487
32646,Todd Haynes,Director,16863
10533,Roland Joffé,Director,8965
10802,Paul Verhoeven,Director,10491
10149,Wayne Wang,Director,39819
10149,Paul Auster,Director,46391
18402,Lasse Hallström,Director,5306
9348,Roger Donaldson,Director,21370
139408,James Keach,Director,408
281,Kathryn Bigelow,Director,14392
5967,Jacques Demy,Director,24882
79593,Wesley Strick,Director,17880
47939,Martha Coolidge,Director,63713
36834,Agnieszka Holland,Director,1128
9090,Beeban Kidron,Director,20237
3512,Geoff Murphy,Director,32277
52856,Diane Keaton,Director,3092
77350,Douglas Keeve,Director,588623
9560,Alfonso Aráu,Director,22767
9804,Kevin Reynolds,Director,8300
31611,Desmond Nakano,Director,73494
65796,Walter Hill,Director,1723
49805,Mike Figgis,Director,6111
26258,Greg Beeman,Director,17309
50797,Nikita Mikhalkov,Director,82796
19155,Milčo Mančevski,Director,1364800
76,Richard Linklater,Director,564
11017,Tamra Davis,Director,57691
37141,Guy Ferland,Director,43468
9382,Herbert Ross,Director,18378
6715,Peter Horton,Director,44990
18256,Stuart Gordon,Director,27991
22625,Pat O'Connor,Director,19969
2292,Kevin Smith,Director,19303
1909,Jeremy Leven,Director,25210
8984,Barry Levinson,Director,8246
61813,René Bonnière,Director,225065
4954,John Badham,Director,12840
62488,Jack Baran,Director,58154
10531,Roman Polanski,Director,3556
11929,Taylor Hackford,Director,18596
8467,Peter Farrelly,Director,7396
8467,Bobby Farrelly,Director,7395
10451,Ang Lee,Director,1614
20156,Atom Egoyan,Director,56205
18395,Garry Marshall,Director,1201
522,Tim Burton,Director,510
397,Lawrence Kasdan,Director,8844
10525,Billy Crystal,Director,7904
27985,Phillip Borsos,Director,148119
15789,Kevin Lima,Director,15775
15789,Paul Brizzi,Director,56147
27303,Brett Leonard,Director,57090
21183,Carlo Carlei,Director,87695
10954,Gérard Corbiau,Director,67794
47867,Mark Lewis,Director,1566166
43475,Art Clokey,Director,129534
72031,Charles Burnett,Director,97755
14275,Steve James,Director,122449
1024,Peter Jackson,Director,108
17207,Randall Miller,Director,77121
13701,Bernard Rose,Director,57851
14819,Steven Brill,Director,32593
32631,J. F. Lawton,Director,1203
11777,Fred Schepisi,Director,64061
628,Neil Jordan,Director,17016
87729,James Ivory,Director,54441
18713,James Melkonian,Director,73668
6280,Ivan Reitman,Director,8858
9061,Arne Glimcher,Director,56872
37108,Michael Gottlieb,Director,62043
6071,Barbet Schroeder,Director,23393
11,George Lucas,Director,1
9587,Gillian Armstrong,Director,58094
19101,Alfonso Cuarón,Director,11218
49980,Ken Loach,Director,15488
17961,Claude Chabrol,Director,19069
18183,Alfonso Aráu,Director,22767
4476,Edward Zwick,Director,9181
11008,Nick Castle,Director,14692
47504,James Gray,Director,20561
32325,Allison Anders,Director,3110
43742,Glenn Gordon Caron,Director,58463
28313,Stephen Gyllenhaal,Director,15912
11318,Nicholas Hytner,Director,55476
3036,Kenneth Branagh,Director,11181
40490,James Orr,Director,27444
24070,Nora Ephron,Director,9248
8986,Richard Benjamin,Director,24318
10510,Les Mayfield,Director,56911
17402,David Frankel,Director,5065
38722,Gregory Nava,Director,16395
8438,Marc Rocco,Director,54971
11593,Robert Benton,Director,6729
1945,Michael Apted,Director,10781
39310,Nick Gomez,Director,17278
109560,Tōru Murakawa,Director,129957
56428,Vadim Jean,Director,70905
63105,Albert Pyun,Director,63937
131957,Alan Jacobs,Director,131792
241,Oliver Stone,Director,1152
9058,Norman Jewison,Director,13563
527,Lee Tamahori,Director,7256
18220,Anne Goursaud,Director,2873
6950,Wolfgang Petersen,Director,5231
101,Luc Besson,Director,59
63020,Mira Nair,Director,6495
2307,Joshua Brand,Director,23757
680,Quentin Tarantino,Director,138
41478,Mario Van Peebles,Director,16214
25296,Ang Lee,Director,1614
40156,Antonia Bird,Director,42617
11450,Robert Redford,Director,4135
30304,Kayo Hatta,Director,994323
10452,Patrice Chéreau,Director,23724
12106,Sam Raimi,Director,7623
161495,Peter Yates,Director,12804
3586,Robert Altman,Director,9789
110,Krzysztof Kieślowski,Director,1126
108,Krzysztof Kieślowski,Director,1126
109,Krzysztof Kieślowski,Director,1126
159185,He Ping,Director,77305
36357,Fred Gerber,Director,45642
92769,George Mihalka,Director,133793
28033,Harold Ramis,Director,1524
22586,Richard Rich,Director,107274
14334,John Sayles,Director,102445
2636,Luis Llosa,Director,26648
2164,Roland Emmerich,Director,6046
11395,John Pasquin,Director,58072
278,Frank Darabont,Director,4027
9905,Danny Boyle,Director,2034
87078,Scott McGehee,Director,101444
87078,David Siegel,Director,101446
12527,Tomás Gutiérrez Alea,Director,72646
12527,Juan Carlos Tabío,Director,72647
20306,George Huang,Director,57028
36614,Kevin Dowling,Director,91499
36614,Geoff Burton,Director,72629
27993,Kelly Makin,Director,64030
31439,Zhang Yimou,Director,607
9067,Rachel Talalay,Director,56891
9059,Ernest R. Dickerson,Director,15521
193,David Carson,Director,2380
25066,Rusty Cundieff,Director,141825
46797,Brian Gilbert,Director,58080
12122,John Carpenter,Director,11770
11381,Peter Segal,Director,13426
32636,Louis Malle,Director,15389
36141,Steven Soderbergh,Director,1884
95963,Preston A. Whitmore II,Director,76705
1587,Lasse Hallström,Director,5306
9271,Brett Leonard,Director,57090
2064,Jon Turteltaub,Director,12962
19855,Jon Avnet,Director,18250
60855,Mina Shum,Director,1230367
236,P.J. Hogan,Director,3045
48287,Melanie Mayron,Director,83313
3049,Tom Shadyac,Director,4499
2759,Stephan Elliott,Director,27889
12635,Iain Softley,Director,1978
10497,Roman Polanski,Director,3556
11382,Woody Allen,Director,1243
9331,Phillip Noyce,Director,13015
10731,Joel Schumacher,Director,5572
10464,Jessie Nelson,Director,16853
34152,Spike Lee,Director,5281
9495,Alex Proyas,Director,21085
29973,Ron Shelton,Director,4037
888,Brian Levant,Director,13581
13,Robert Zemeckis,Director,24
712,Mike Newell,Director,10723
16295,John Singleton,Director,6482
48992,Darnell Martin,Director,81727
10879,Charles Shyer,Director,56106
10660,Andrew Bergman,Director,41550
10714,Stephen Sommers,Director,7775
41647,Ray Müller,Director,226963
8587,Roger Allers,Director,15812
8587,Rob Minkoff,Director,18898
1689,Bernardo Bertolucci,Director,4956
11596,Wes Craven,Director,5140
854,Chuck Russell,Director,26713
9359,Richard Donner,Director,7187
23333,Alan Rudolph,Director,72427
36593,Peter Segal,Director,13426
12280,Ron Howard,Director,6159
2788,Ben Stiller,Director,7399
10427,John Dahl,Director,21053
11011,Donald Petrie,Director,18281
49803,Robert Allan Ackerman,Director,83588
8987,Curtis Hanson,Director,323
1637,Jan de Bont,Director,2209
15128,Ron Underwood,Director,33485
8831,Peter Hyams,Director,37710
36955,James Cameron,Director,2710
10449,Luis Mandoki,Director,46085
10395,Mike Nichols,Director,5342
12160,Lawrence Kasdan,Director,8844
40480,Damian Harris,Director,42301
52038,Suri Krishnamma,Director,158634
29444,Jefery Levy,Director,72125
26352,Keenen Ivory Wayans,Director,35689
39953,Robert Lee King,Director,133183
39953,Brian Sloan,Director,1066114
39953,Raoul O'Connell,Director,1087439
41580,Yves Angelo,Director,234793
315,Russ Meyer,Director,4590
22067,Doug McHenry,Director,67896
18242,Dave Borthwick,Director,80537
11667,Steven E. de Souza,Director,1726
32502,Wallace Wolodarsky,Director,486
267188,Michael A. Nickles,Director,126837
28732,Paul Warner,Director,1142481
75555,Vincent Robert,Director,532207
42981,Theodore Thomas,Director,129216
278939,Lucas Platt,Director,1382436
291731,Ross Kagan Marks,Director,1385254
226229,Paul Williams,Director,220152
203119,Robert Wuhl,Director,4040
172923,Roberto Sneider,Director,16401
316098,Jack Baxter,Director,223910
316098,Jefri Aalmuhammed,Director,1410160
8011,Andrew Morahan,Director,53599
171857,Michael Corrente,Director,77076
2654,John Carpenter,Director,11770
18069,John G. Avildsen,Director,16513
19092,Jeff Pollack,Director,88060
2758,Barry Sonnenfeld,Director,5174
38129,Thomas Schlamme,Director,15106
10436,Martin Scorsese,Director,1032
13595,Michael Lehmann,Director,7145
46094,Paul Michael Glaser,Director,12988
9409,John Badham,Director,12840
11853,Jonathan Kaplan,Director,42171
16771,Whit Stillman,Director,78188
46924,Bill Forsyth,Director,68687
11041,Penelope Spheeris,Director,58448
306,John Landis,Director,4610
14522,Caroline Thompson,Director,1901
26203,Michael Apted,Director,10781
178,Stephen Hopkins,Director,2042
19819,William Friedkin,Director,15175
57834,Tony Richardson,Director,32765
4722,Abel Ferrara,Director,39104
18215,Jennifer Chambers Lynch,Director,14800
1607,Robert De Niro,Director,380
26391,Adam Resnick,Director,57107
117553,John Whitesell,Director,61175
6075,Brian De Palma,Director,1150
11310,Paul Weiland,Director,66548
18658,Mick Jackson,Director,8843
9350,Renny Harlin,Director,16938
9612,Steve Barron,Director,18308
2124,Richard Rush,Director,21806
26261,Michael Ritchie,Director,12964
19176,Gregg Champion,Director,27236
49299,Abel Ferrara,Director,39104
11566,Ivan Reitman,Director,8858
9571,Richard Linklater,Director,564
9739,Marco Brambilla,Director,58838
24257,Bruce Brown,Director,86
34444,Gus Van Sant,Director,5216
26141,Carl Reiner,Director,1895
10997,Chen Kaige,Director,20640
50463,Donald Petrie,Director,18281
10443,Peter Weir,Director,2690
20239,Rusty Cundieff,Director,141825
16297,Alek Keshishian,Director,50949
18551,Steve Kloves,Director,10967
25440,John Irvin,Director,17784
9024,Barry Sonnenfeld,Director,5174
37233,Sydney Pollack,Director,2226
1634,Simon Wincer,Director,18254
13815,Boaz Yakin,Director,52358
5503,Andrew Davis,Director,12989
35588,Walter Hill,Director,1723
2087,Roger Donaldson,Director,21370
41579,Howard Deutch,Director,26502
18620,Rose Troche,Director,172993
41006,Bruce Beresford,Director,5696
4916,Sidney Lumet,Director,39996
2019,John Woo,Director,11401
31642,Oliver Stone,Director,1152
9255,Jim Abrahams,Director,12936
26271,Julianna Lavin,Director,94996
10612,Christopher Monger,Director,65859
2259,Bille August,Director,19684
16097,Eric Meza,Director,77733
11934,Joel Coen,Director,1223
106143,James L. Brooks,Director,3388
12475,"Daniel Petrie, Jr.",Director,774
9386,Wolfgang Petersen,Director,5231
7984,Jim Sheridan,Director,53334
59930,Matty Rich,Director,230059
15765,Brian Gibson,Director,18069
31643,Barry Levinson,Director,8246
6,Stephen Hopkins,Director,2042
329,Steven Spielberg,Director,488
10909,Dominic Sena,Director,58498
507,Roger Avary,Director,8297
34024,Steven Soderbergh,Director,1884
29918,Daniel Petrie,Director,40549
9593,John McTiernan,Director,1090
42580,James Lapine,Director,90037
22317,Simon Wincer,Director,18254
22317,Paul Hogan,Director,57147
22317,Greg Coote,Director,71192
1413,David Cronenberg,Director,224
12121,Richard Benjamin,Director,24318
2246,Harold Becker,Director,23213
10502,Mel Gibson,Director,2461
10440,Woody Allen,Director,1243
9516,Albert Hughes,Director,11447
9516,Allen Hughes,Director,11448
2320,Stuart Baird,Director,2523
5879,Nagisa Ōshima,Director,46230
83718,Tom Noonan,Director,119232
11971,Kenneth Branagh,Director,11181
2625,Mike Figgis,Director,6111
31911,Anthony Minghella,Director,2239
788,Chris Columbus,Director,10965
21450,Mike Leigh,Director,65452
11231,Christopher Cain,Director,56828
41588,Michael Tolkin,Director,16939
10447,Martin Campbell,Director,10702
31586,Rob Reiner,Director,3026
9300,Sally Potter,Director,57206
9559,Clint Eastwood,Director,190
9800,Jonathan Demme,Director,16294
713,Jane Campion,Director,10757
8291,John Singleton,Director,6482
18133,David S. Ward,Director,12920
25557,Stuart Orme,Director,29482
22588,Mel Smith,Director,141450
10872,Ted Demme,Director,34849
1245,James Ivory,Director,54441
11858,Penny Marshall,Director,14911
7007,Philip Kaufman,Director,648
10467,Alan Parker,Director,9168
5550,Fred Dekker,Director,44056
8005,Mel Brooks,Director,14639
2088,Peter Medak,Director,21377
10412,Geoffrey Wright,Director,65026
47889,Victor Nunez,Director,138322
14534,David Anspaugh,Director,44847
56583,Tim Hunter,Director,15858
41878,Cyril Collard,Director,127283
424,Steven Spielberg,Director,488
35233,Michael Ritchie,Director,12964
14291,Steven Zaillian,Director,2260
103413,Chris Menges,Director,8969
11236,Agnieszka Holland,Director,1128
